KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,人口総数,男,女,世帯総数
,,,,,,,,,,
14101,1,横浜市鶴見区,,0,,,297437,153438,143999,145586
141010010,2,横浜市鶴見区,大黒町,0,,,19,19,-,19
141010030,3,横浜市鶴見区,生麦,0,,,13515,7334,6181,8124
14101003001,4,横浜市鶴見区,生麦一丁目,0,,,1981,1148,833,1360
14101003002,4,横浜市鶴見区,生麦二丁目,0,,,2,2,-,2
14101003003,4,横浜市鶴見区,生麦三丁目,0,,,3829,2083,1746,2406
14101003004,4,横浜市鶴見区,生麦四丁目,0,,,4471,2365,2106,2470
14101003005,4,横浜市鶴見区,生麦五丁目,0,,,3232,1736,1496,1886
141010080,3,横浜市鶴見区,岸谷,0,,,11851,6092,5759,5988
14101008001,4,横浜市鶴見区,岸谷一丁目,0,,,2470,1268,1202,1302
14101008002,4,横浜市鶴見区,岸谷二丁目,0,,,2054,1065,989,1024
14101008003,4,横浜市鶴見区,岸谷三丁目,0,,,3892,2011,1881,1889
14101008004,4,横浜市鶴見区,岸谷四丁目,0,,,3435,1748,1687,1773
141010120,3,横浜市鶴見区,鶴見,0,,,3490,1778,1712,1866
14101012001,4,横浜市鶴見区,鶴見一丁目,0,,,2474,1233,1241,1212
14101012002,4,横浜市鶴見区,鶴見二丁目,0,,,1016,545,471,654
141010140,3,横浜市鶴見区,寺谷,0,,,4931,2444,2487,2604
14101014001,4,横浜市鶴見区,寺谷一丁目,0,,,2560,1296,1264,1416
14101014002,4,横浜市鶴見区,寺谷二丁目,0,,,2371,1148,1223,1188
141010160,2,横浜市鶴見区,諏訪坂,0,,,1881,932,949,904
141010170,2,横浜市鶴見区,豊岡町,0,,,5579,2965,2614,3474
141010180,2,横浜市鶴見区,佃野町,0,,,5137,2615,2522,2774
141010190,3,横浜市鶴見区,馬場,0,,,16603,8379,8224,7148
14101019001,4,横浜市鶴見区,馬場一丁目,0,,,2398,1231,1167,1121
14101019002,4,横浜市鶴見区,馬場二丁目,0,,,2806,1411,1395,1200
14101019003,4,横浜市鶴見区,馬場三丁目,0,,,2684,1337,1347,1121
14101019004,4,横浜市鶴見区,馬場四丁目,0,,,2712,1337,1375,1147
14101019005,4,横浜市鶴見区,馬場五丁目,0,,,1918,995,923,845
14101019006,4,横浜市鶴見区,馬場六丁目,0,,,1787,884,903,708
14101019007,4,横浜市鶴見区,馬場七丁目,0,,,2298,1184,1114,1006
141010260,3,横浜市鶴見区,北寺尾,0,,,17100,8512,8588,7171
14101026001,4,横浜市鶴見区,北寺尾一丁目,0,,,2156,1084,1072,1031
14101026002,4,横浜市鶴見区,北寺尾二丁目,0,,,1597,776,821,706
14101026003,4,横浜市鶴見区,北寺尾三丁目,0,,,1982,989,993,829
14101026004,4,横浜市鶴見区,北寺尾四丁目,0,,,2559,1258,1301,1007
14101026005,4,横浜市鶴見区,北寺尾五丁目,0,,,2258,1092,1166,896
